RPM,Delta_ms
257000,4.7890
257500,4.7560
258000,4.8350
258500,4.4000
259000,4.5130
260000,3.2260
260500,4.6470
261000,1.9830
261500,3.5560
262000,1.9700
262500,3.2420
263000,5.0660
263500,4.4610
264000,1.9780
264500,3.4810
265000,4.3950
265500,4.3720
266000,4.4120
266500,4.3810
267000,4.5010
267500,3.1870
268000,4.3970
268500,4.7350
269000,2.2680
269500,4.4350
270000,4.8720
270500,4.7730
271500,4.4570
272000,4.4160
272500,4.6910
273000,3.3620
273500,3.1890
274000,4.4690
274500,4.6680
275000,4.5390
275500,4.4720
276000,4.4130
276500,4.5200
277000,4.6660
277500,3.3770
278000,4.5050
278500,4.4680
279000,4.5150
279500,4.4740
280000,5.2170
280500,4.5080
281000,4.7410
282000,3.3580
282500,3.4100
283000,3.2520
283500,4.4880
284000,4.8600
284500,4.4130
285000,4.6020
285500,3.1320
286000,4.4960
286500,4.4820
287000,4.5430
287500,3.2480
288000,4.6010
288500,4.3670
289000,4.5190
289500,4.5110
290000,4.5070
290500,4.4440
291000,4.5440
291500,3.2350
292000,4.3960
292500,2.2750
293000,4.6270
294000,4.3820
294500,4.4450
295000,4.5070
295500,4.4520
296000,4.7660
296500,4.4220
297000,4.6540
297500,4.7310
298000,3.5790
298500,3.3320
299000,4.4530
299500,3.1710
300000,4.5020
300500,4.5080
301000,4.4400
301500,4.5420
302000,4.4820
302500,4.6380
303000,4.5030
303500,4.4930
304500,4.5730
305000,4.4400
305500,3.4390
306000,4.4740
306500,4.4990
307000,4.4570
307500,4.8030
308000,4.5090
308500,4.5810
309000,3.6940
309500,4.4960
310000,2.0550
310500,2.0540
311000,2.0030
311500,3.7460
312000,2.0740
312500,3.2640
313000,4.5470
313500,4.4790
314000,4.5580
314500,4.6480
315000,4.5140
316000,3.2630
316500,4.4590
317000,4.5320
317500,4.4360
318000,4.4910
318500,4.5500
319000,4.4710
319500,4.5980
320000,3.4920
320500,4.7180
321000,4.6260
321500,3.3960
322000,4.5770
322500,4.5320
323000,4.4800
323500,4.5120
324000,4.4690
324500,3.3410
325000,4.5170
325500,4.5320
326000,4.5160
327000,4.4920
327500,4.4870
328000,4.4560
328500,4.4970
329000,4.8220
329500,3.3140
330000,4.5200
330500,4.9440
331000,4.8170
331500,4.5150
332000,3.3930
332500,4.6130
333000,4.5020
333500,4.5020
334000,3.3490
334500,4.6480
335000,4.5770
335500,3.2790
336000,4.7350
336500,3.4630
337000,4.5830
338000,4.5780
338500,4.8740
339000,4.5010
339500,3.4810
340000,3.3220
340500,4.4800
341000,4.4900
341500,4.7740
342000,3.2630
342500,4.5210
343000,4.4770
343500,4.5640
344000,4.4750
344500,4.5360
345000,3.2380
345500,3.2710
346000,4.5090
346500,4.4520
347000,4.5270
347500,3.3080
348000,4.4940
349000,3.3150
349500,4.4720
350000,3.3010
350500,3.4050
351000,3.3100
351500,4.6180
352000,4.6940
352500,4.6440
353000,4.4560
353500,4.6230
354000,4.5450
354500,4.5160
355000,3.2810
355500,4.6520
356000,4.4870
356500,4.5530
357000,4.7160
357500,4.5570
358000,4.5490
358500,4.8070
359000,4.5220
359500,3.5770
360500,4.6190
361000,4.5560
361500,4.5940
362000,4.5440
362500,4.8370
363000,3.4990
363500,4.7810
364000,4.6110
364500,4.8610
365000,2.1630
365500,3.4130
366000,4.5340
366500,3.3310
367000,4.5540
367500,3.6330
368000,4.4510
368500,3.2800
369000,3.2820
369500,4.6490
370000,2.1070
370500,3.4790
371000,4.5050
372000,4.6710
372500,3.4290
373000,4.5230
373500,4.8440
374000,4.5330
374500,4.8140
375000,3.8230
375500,3.4290
376000,2.2660
376500,4.6750
377000,4.8570
377500,4.7760
378000,4.5710
378500,2.2870
379000,4.5290
379500,4.6130
380000,4.5830
380500,3.5050
381000,4.5510
381500,4.5760
382000,4.5340
383000,3.3690
383500,4.8400
384000,4.5750
384500,4.5810
385000,4.8320
385500,4.8010
386000,4.7090
386500,4.8740
387000,4.5610
387500,3.3580
388000,4.6380
388500,3.3500
389000,4.7090
389500,4.6290
390000,3.3630
390500,4.8230
391000,2.3760
391500,4.5480
392000,4.5790
392500,4.5230
393000,4.7130
394000,4.5740
394500,4.5290
395000,4.5340
395500,4.7780
396000,4.9110
396500,3.5110
397000,4.7200
397500,2.6550
398000,3.4730
398500,2.3740
399000,4.5630
399500,4.5500
400000,3.9290
400500,3.3220
401000,4.7180
401500,2.1600
402000,4.5700
402500,4.5330
403000,3.3420
403500,2.1410
404000,2.4370
404500,4.4910
405000,4.6470
406000,5.0500
406500,3.4140
407000,4.5580
407500,4.5290
408000,4.7330
408500,4.5920
409000,4.9470
409500,4.6690
410000,4.6600
410500,3.6050
411000,4.6680
411500,4.7820
412000,4.5790
412500,4.6410
413000,4.6630
413500,4.5870
414000,4.8530
414500,4.6720
415000,4.8280
416000,3.5050
416500,2.1810
417000,4.8790
417500,4.9710
418000,4.6070
418500,4.7260
419000,4.5580
419500,3.3420
420000,3.4120
420500,3.6620
421000,2.1470
421500,4.6190
422000,3.6320
422500,4.6210
423000,4.5410
423500,4.5380
424000,4.9450
424500,3.3800
425000,4.5610
425500,4.6230
426000,5.0710
426500,4.6140
427500,4.5700
428000,3.4210
428500,2.2160
429000,4.6040
429500,2.1570
430000,3.5010
430500,3.6820
431000,4.7760
431500,4.7040
432000,4.5410
432500,2.5460
433000,4.6020
433500,4.5580
434000,3.3660
434500,4.7100
435000,4.6570
435500,3.4310
436000,4.6270
436500,3.4060
437000,4.8580
437500,4.6200
438000,4.7370
439000,4.5420
439500,4.6860
440000,4.5840
440500,4.6810
441000,4.6710
441500,4.5930
442000,3.4490
442500,4.6810
443000,4.5830
443500,2.3560
444000,2.1770
444500,4.6090
445000,3.6990
445500,2.4730
446000,3.6600
446500,3.5700
447000,3.3730
447500,4.6950
448000,2.3430
448500,3.5750
449000,3.4120
449500,4.6110
450000,4.5700
451000,4.5720
451500,4.6270
452000,3.3730
452500,3.5380
453000,3.4250
453500,3.3860
454000,3.6990
454500,3.6390
455000,3.9650
455500,3.4240
456000,4.7690
456500,3.4910
457000,3.6760
457500,3.5320
458000,3.5160
458500,4.5860
459000,4.6900
459500,4.6560
460000,4.6790
460500,3.4710
461000,4.6440
461500,4.6280
462500,3.5700
463000,4.7310
463500,4.8400
464000,2.3750
464500,4.5850
465000,3.6830
465500,3.3880
466000,3.4050
466500,2.5070
467000,3.6950
467500,4.9520
468000,3.3810
468500,4.6370
469000,4.5450
469500,3.3740
470000,3.6860
470500,4.6360
471000,3.4000
471500,4.5800
472000,3.8080
472500,3.6380
473000,4.6230
473500,4.6700
474500,5.0310
475000,4.6030
475500,4.6370
476000,3.6540
476500,4.6510
477000,4.9920
477500,4.5690
478000,4.6270
478500,3.6500
479000,3.5730
479500,4.8730
480000,4.6590
480500,3.6520
481000,2.6890
481500,4.6740
482000,3.4140
482500,2.3880
483000,3.6600
483500,3.4010
484000,3.5750
484500,3.4000
485000,3.7170
485500,4.6200
486500,4.8700
487000,4.5980
487500,4.7600
488000,3.4750
488500,3.6980
489000,4.9260
489500,4.6410
490000,2.3360
490500,3.4150
491000,2.6240
491500,0.9960
492000,2.4780
492500,3.3500
493000,3.3900
493500,4.9150
494000,3.5180
494500,2.2550
495000,3.4560
495500,4.5930
496000,3.4450
496500,2.5790
497000,3.4490
497500,3.3550
498000,3.4250
499000,3.5990
499500,4.6290
500000,3.5060
500500,3.6220
501000,2.5600
501500,3.6700
502000,3.6420
502500,4.6490
503000,1.7950
503500,3.4500
504000,4.6680
504500,3.4880
505000,4.5990
505500,3.4540
506000,2.6570
506500,3.4410
507000,3.4070
507500,3.4120
508000,3.4040
508500,3.5870
509000,2.5960
509500,1.5870
510000,3.4140
510500,3.3700
511000,3.4160
511500,2.7260
512000,2.5620
513000,3.3870
513500,3.4020
514000,2.2110
514500,3.4260
515000,2.2600
515500,4.6610
516000,3.4160
516500,3.4010
517000,3.6370
517500,4.6210
518000,1.7670
518500,4.6830
519000,3.6260
519500,3.4210
520000,2.5520
520500,4.6890
521000,3.7530
521500,3.4160
522000,4.6450
522500,2.4200
523000,2.7530
523500,2.6650
524000,3.4220
524500,4.6550
525000,2.7310
526000,3.7890
526500,3.4060
527000,3.5580
527500,1.3260
528000,2.2900
528500,4.6900
529000,1.3710
529500,4.5890
530000,4.7190
530500,4.7390
531000,3.4230
531500,4.6540
532000,3.4190
532500,3.6970
533000,3.4090
533500,3.4620
534000,3.5480
534500,3.4830
535000,3.7650
535500,3.4400
536000,4.6710
536500,3.5040
537000,4.0850
537500,2.6100
538000,3.4660
539000,3.4410
539500,3.6990
540000,3.5190
540500,2.4460
541000,2.5990
541500,2.5580
542000,3.7350
542500,2.4940
543000,2.5510
543500,3.4820
544000,3.5260
544500,3.4410
545000,2.6250
545500,3.4000
546000,3.4790
546500,2.3600
547000,3.4280
547500,3.7030
548000,3.4740
548500,3.4250
549000,2.1930
549500,3.8920
550000,1.7870
550500,3.4110
551000,3.6690
551500,2.5790
552000,2.7520
552500,2.4070
553500,3.4450
554000,3.6140
554500,2.7100
555000,3.3880
555500,3.4310
556000,3.4710
556500,3.4260
557000,3.4450
557500,3.6550
558000,2.6610
558500,4.7140
559000,3.7420
559500,2.1710
560000,2.3930
560500,3.4320
561000,2.6770
561500,2.6460
562000,2.4410
562500,2.2220
563000,1.1640
563500,4.6760
564000,4.9440
564500,3.5730
565000,2.2340
565500,3.7670
566000,2.6580
566500,3.4800
567000,4.6360
568000,2.3200
568500,2.4020
569000,3.6780
569500,3.5050
570000,3.4170
570500,3.6170
571000,3.4210
571500,4.7210
572000,3.4570
572500,3.5540
573000,2.2390
573500,3.7590
574000,3.4460
574500,3.9920
575000,3.4730
575500,2.4240
576000,3.4500
576500,1.3170
577000,2.5920
577500,3.7320
578000,4.6740
578500,4.6590
579000,2.5910
579500,2.2300
580000,2.2840
580500,3.4850
581000,2.3460
582000,2.1840
582500,3.4330
583000,3.7340
583500,2.2270
584000,2.2390
584500,1.6470
585000,2.6750
585500,2.4130
586000,3.4330
586500,1.3000
587000,2.8220
587500,2.5600
588000,3.4580
588500,2.6830
589000,1.1900
589500,1.3120
590000,3.5930
590500,1.3210
591000,2.2860
591500,2.2270
592000,2.2230
592500,2.3850
593000,2.3500
593500,3.4540
594000,2.4280
594500,3.5470
595000,2.3760
595500,2.3120
596000,1.2040
596500,2.2610
597000,3.4690
597500,2.4420
598000,2.2820
598500,2.5080
599500,2.2350
600000,2.3660
600500,4.6760
601000,3.6680
601500,3.4830
602000,3.2170
602500,2.5210
603000,2.3560
603500,2.3510
604000,1.3670
604500,2.2730
605000,3.4560
605500,2.2500
606000,3.3670
606500,2.3680
607000,3.4980
607500,3.6470
608000,2.6730
608500,3.4800
609000,2.3670
609500,2.2090
610000,2.5840
610500,2.4710
611000,2.2720
611500,1.4400
612000,2.5720
612500,2.3510
613000,2.2450
613500,1.3380
614000,2.7180
614500,2.2940
615000,2.3890
616000,2.2110
616500,2.2560
617000,2.2570
617500,2.2400
618000,2.3600
618500,2.4230
619000,1.3080
619500,2.4080
620000,3.7850
620500,2.3360
621000,2.2510
621500,2.2650
622000,3.7290
622500,2.8010
623000,2.2360
623500,2.3910
624000,2.2690
624500,2.4250
625000,2.4120
625500,2.2390
626000,2.2420
626500,1.1630
627000,2.2360
627500,2.6410
628000,2.3100
628500,2.2810
629000,2.2480
629500,2.2680
630000,2.4070
630500,2.2830
631000,2.2600
631500,2.4510
632000,2.4640
632500,2.3580
633500,2.2440
634000,2.6580
634500,1.1930
635000,2.2430
635500,2.2500
636000,2.5320
636500,2.5500
637000,2.4450
637500,2.7720
638000,2.4420
638500,2.4270
639000,2.4520
639500,2.2530
640000,1.3760
640500,1.2080
641000,2.5880
641500,3.5540
642000,2.4040
642500,2.2090
643000,1.0050
643500,2.3890
644000,1.1210
644500,2.4190
645000,1.2840
645500,2.5420
646000,1.2990
646500,1.1690
647000,2.5470
647500,2.3820
648000,1.3640
648500,3.6780
649000,2.3460
649500,2.2770
650000,2.2570
650500,1.3360
651000,2.2480
651500,1.3460
652000,1.2270
652500,2.3680
653000,1.4370
654000,2.2470
654500,1.5320
655000,2.2530
655500,1.3500
656000,2.5880
656500,2.2540
657000,2.5560
657500,2.3400
658000,2.3850
658500,2.2730
659000,1.1780
659500,2.2500
660000,1.2990
660500,2.2820
661000,2.2550
661500,1.4680
662000,2.2580
662500,1.1770
663000,2.2500
663500,1.8130
664000,1.2100
664500,2.2550
665000,2.2550
665500,2.2530
666000,1.1980
666500,2.6200
667000,2.6920
667500,2.4200
668000,2.3960
668500,3.5930
669000,1.1640
669500,2.3690
670000,1.1640
670500,2.2670
671000,2.2620
671500,1.4130
672000,2.2660
672500,3.4820
673000,4.7230
674000,3.4650
674500,3.5720
675000,1.4230
675500,2.2500
676000,1.2380
676500,2.2610
677000,2.3060
677500,2.2670
678000,2.2120
678500,2.2430
679000,1.7020
679500,2.2340
680000,1.3690
680500,1.5820
681000,2.5750
681500,3.5260
682000,1.3940
682500,2.2900
683000,1.0510
683500,2.2810
684000,2.1650
684500,2.5470
685000,1.5970
685500,1.1910
686000,3.4300
686500,2.5390
687000,2.7330
687500,2.7630
688000,2.4190
688500,3.5500
689000,2.4810
689500,3.4480
690000,2.4930
690500,2.3240
691500,2.2620
692000,3.4660
692500,1.3520
693000,2.2730
693500,2.2720
694000,1.1850
694500,2.3970
695000,2.5510
695500,2.3210
696000,1.2400
696500,1.0650
697000,2.3770
697500,2.7120
698000,1.1890
698500,2.2600
699000,2.2630
699500,2.3160
700000,2.5020
700500,2.3960
701000,2.7290
701500,2.2740
702000,2.5480
702500,3.7230
703000,2.4110
703500,1.6640
704000,2.2660
704500,1.5030
705000,1.3010
705500,1.3660
706000,3.5480
706500,2.2730
707000,2.2840
707500,1.9400
708000,2.2960
708500,2.2650
709000,0.4470
709500,2.2460
710500,2.2640
711000,2.2730
711500,2.2720
712000,1.1600
712500,2.2340
713000,2.3310
713500,2.2270
714000,1.1750
714500,2.8720
715000,2.3630
715500,2.2420
716000,2.3030
716500,1.3210
717000,2.3070
717500,2.5770
718000,2.2740
718500,3.4770
719000,2.2780
719500,2.2690
720000,1.5620
720500,1.5680
721000,2.4950
721500,1.4990
722000,2.3030
722500,1.2750
723000,4.6840
723500,2.2460
724000,2.3180
724500,1.2040
725000,2.3850
725500,1.4650
726000,2.4600
726500,1.5450
727000,2.2430
727500,2.2650
728000,2.2640
728500,2.4900
729000,3.5870
730000,1.3130
730500,2.4220
731000,3.5730
731500,3.6190
732000,2.3280
732500,4.9890
733000,2.5930
733500,2.5380
734000,2.2670
734500,1.2330
735000,2.2910
735500,1.2240
736000,2.4160
736500,3.6000
737000,2.3340
737500,3.5430
738000,4.7370
738500,3.4670
739000,2.6250
739500,3.4690
740000,2.7850
740500,2.2580
741000,1.4840
741500,0.4210
742000,3.5860
742500,3.4910
743000,2.5710
743500,4.7160
744000,2.4700
744500,3.6240
745500,2.3280
746000,2.7480
746500,1.5870
747000,2.3670
747500,1.1910
748000,2.4420
748500,1.8210
749000,3.6970
749500,2.5030
750000,2.3060
750500,2.3240
751000,2.7560
751500,1.4970
752000,2.2800
752500,3.5440
753000,2.7140
753500,2.2880
754000,2.4320
754500,2.7620
755000,1.5360
755500,2.2720
756000,1.2630
756500,1.7220
757000,2.4430
757500,1.4500
758000,2.4350
758500,1.9420
759000,2.3070
759500,2.7720
760000,1.0710
760500,1.4220
761000,2.3550
761500,1.3410
762000,2.6420
762500,1.2740
763000,2.4430
763500,2.2540
764000,1.3660
764500,2.2790
765500,2.7470
766000,1.6790
766500,1.8070
767000,1.6390
767500,1.0410
768000,2.3460
768500,2.2820
769000,2.5640
769500,1.4800
770000,1.5240
770500,1.4770
771000,3.4650
771500,1.3520
772000,1.4960
772500,2.6910
773000,1.3620
773500,2.6300
774000,2.3390
774500,2.3290
775000,1.6590
775500,1.5890
776000,2.5820
776500,1.5890
777000,1.2000
777500,2.2870
778000,2.3640
778500,1.1810
779000,1.0780
779500,2.3060
780000,0.4130
780500,1.5030
781000,1.3610
781500,2.5140
782000,1.6420
782500,2.9010
783000,1.2460
783500,3.5890
784000,3.5310
784500,0.7060
785000,1.3950
785500,2.3090
786000,1.5190
786500,2.3200
787500,2.2770
788000,1.4370
788500,3.6670
789000,1.3780
789500,2.3600
790000,1.2660
790500,3.5410
791000,3.4750
791500,2.4980
792000,2.5070
792500,2.3040
793000,1.3250
793500,2.3180
794000,2.4240
794500,1.2750
795000,2.2860
795500,2.7440
796000,3.6720
796500,2.6350
797000,3.4490
797500,2.4260
798000,2.2870
798500,1.2990
799000,2.2670
799500,2.2830
800000,2.2950
800500,2.4230
801000,2.5320
801500,2.2850
802000,1.7470
802500,2.3090
803000,5.0050
803500,2.4570
804000,1.7000
805000,0.6470
805500,2.2840
806000,0.4260
806500,1.5410
807000,1.4010
807500,2.7140
808000,1.3210
808500,2.3330
809000,2.3180
809500,1.1160
810000,1.7430
810500,2.4090
811000,2.4380
811500,3.5200
812000,1.5140
812500,3.5030
813000,3.6110
813500,2.3390
814000,1.5400
814500,1.5870
815000,1.6020
815500,1.4820
816000,2.4500
816500,0.4440
817000,2.4190
817500,0.8180
818000,2.5930
818500,2.2850
819000,1.2490
819500,2.4200
820000,2.3240
820500,1.6970
821000,2.4120
821500,2.6470
822000,1.2350
822500,1.6730
823000,2.4900
823500,2.3520
824000,2.4090
824500,1.3550
825500,2.2970
826000,1.1840
826500,2.4360
827000,2.4330
827500,0.5690
828000,2.2880
828500,2.5360
829000,2.3080
829500,2.2870
830000,1.3930
830500,2.2770
831000,3.6190
831500,2.3840
832000,2.2970
832500,2.6900
833000,0.4300
833500,2.3220
834000,2.4630
834500,1.1210
835000,1.3340
835500,2.4020
836000,2.2870
836500,1.7070
837000,2.3160
837500,3.7790
838000,1.4860
838500,2.4040
839000,2.3300
839500,0.4150
840000,1.2100
840500,2.4610
841000,2.4980
841500,1.4930
842000,2.5270
842500,2.3010
843000,1.3260
843500,1.6310
844000,2.3770
844500,2.3780
845000,3.6540
846000,0.5640
846500,2.3550
847000,2.4430
847500,0.4420
848000,2.4760
848500,2.5300
849000,0.3930
849500,1.2200
850000,1.6970
850500,2.2860
851000,1.2260
851500,2.2960
852000,2.4400
852500,1.3930
853000,2.4690
853500,2.2920
854000,1.3360
854500,0.5670
855000,1.4890
855500,1.2140
856000,2.6730
856500,1.2000
857000,1.5440
857500,2.4200
858000,2.5970
858500,2.3150
859000,2.5680
859500,1.3460
860000,3.5550
860500,2.3120
861000,1.2090
861500,3.6270
862000,1.7250
862500,3.0260
863000,1.2770
863500,1.7640
864000,2.5480
864500,3.5950
865000,1.2910
865500,1.5300
866000,2.5630
867000,3.6400
867500,2.6090
868000,1.3190
868500,1.6340
869000,1.3190
869500,3.6410
870000,2.4050
870500,2.2930
871000,0.5950
871500,2.3790
872000,1.5680
872500,2.3460
873000,2.4270
873500,1.6400
874000,1.3670
874500,1.5700
875000,1.1400
875500,2.4880
876000,3.6650
876500,0.5740
877000,1.3960
877500,0.4280
878000,2.4420
878500,2.3710
879000,0.4660
879500,2.4440
880000,1.4130
880500,2.5110
881000,1.2530
881500,2.6680
882000,1.6630
882500,2.4700
883000,2.6120
883500,1.5040
884000,1.2800
884500,2.4340
885000,1.6100
885500,1.4040
886000,1.7030
886500,2.4680
887000,2.4570
888000,2.5600
888500,1.5520
889000,2.4730
889500,1.4650
890000,2.7610
890500,3.6360
891000,2.4400
891500,2.5490
892000,1.3440
892500,1.3860
893000,0.4410
893500,2.3140
894000,1.4920
894500,2.3810
895000,0.6530
895500,1.5210
896000,1.3690
896500,1.2780
897000,1.5480
897500,2.4180
898000,2.4290
898500,1.6330
899000,1.9000
899500,2.5900
900000,1.5330
900500,1.5030
901000,1.8010
901500,2.4440
902000,2.4780
902500,2.4620
903000,0.5500
903500,2.4660
904000,0.4640
904500,2.4090
905000,2.2940
905500,2.4850
906000,1.8400
906500,1.6170
907000,0.6300
907500,0.5130
908000,2.5910
908500,1.3260
909000,1.3240
910000,1.5150
910500,1.4060
911000,1.5700
